school_name,course_id,course_name,instructor_name,enrollment_count,start_date,end_date,start_year,end_year
常熟理工学院,1470670184,古琴艺术与虞山琴派,王小龙,273,2024/3/1,2024/6/30,2024,2024
常熟理工学院,1470047164,面向对象程序设计C++,王颖,148,2023/10/11,2024/1/15,2023,2024
常熟理工学院,1468797164,经典阅读,肖虹,180,2024/3/2,2024/6/30,2024,2024
常熟理工学院,1449631171,安全管理学,李爱英,758,2023/4/25,2023/8/31,2023,2023
常熟理工学院,1468645164,工程制图及CAD,赵志平,1515,2024/2/27,2024/6/30,2024,2024
常熟理工学院,1449635169,电机与拖动-铜与铁的艺术,张水平,211,2022/2/21,2022/10/25,2022,2022
常熟理工学院,1465872173,电路分析基础（Electrical Circuit Principles）,华斯亮,26,2024/2/26,2024/6/30,2024,2024
常熟理工学院,1449643174,软件测试与质量保证,董瑞志,140,2024/3/1,2024/6/30,2024,2024
常熟理工学院,1464633166,数据库原理与应用,夏瑜,122,2024/2/26,2024/6/30,2024,2024
常熟理工学院,1449607169,材料性能,周雪峰,176,2021/8/30,2021/12/12,2021,2021
常熟理工学院,1464528184,写作与表达,肖虹,3075,2024/2/25,2024/6/28,2024,2024
常熟理工学院,1449635168,模拟电子技术,浦炜,180,2023/9/4,2024/1/14,2023,2024
常熟理工学院,1462107180,移动应用程序开发,应文豪,237,2024/2/26,2024/6/30,2024,2024
常熟理工学院,1449634162,PLC控制技术理论与实践,许仙珍,463,2024/2/25,2024/6/30,2024,2024
常熟理工学院,1462090170,生物医药企业EHS管理,杨志刚,331,2023/9/8,2024/1/30,2023,2024
常熟理工学院,1449650169,半导体物理与器件,洪学,433,2024/2/29,2024/5/30,2024,2024
常熟理工学院,1462124166,现代控制理论,张玲忠,213,2024/2/27,2024/6/10,2024,2024
常熟理工学院,1449626168,太阳能电池测试及标准,张静,606,2023/9/6,2023/12/31,2023,2023
常熟理工学院,1462117166,安全人机工程及实验,姚嘉杰,215,2024/2/26,2024/6/30,2024,2024
常熟理工学院,1449632170,机械设计基础,王超,189,2022/9/15,2022/11/15,2022,2022
常熟理工学院,1462095169,幼儿教育心理学,华红艳,1154,2023/2/27,2023/6/26,2023,2023
常熟理工学院,1449649163,数据结构与算法,周思林,655,2024/2/26,2024/7/7,2024,2024
常熟理工学院,1462095168,EPLAN电气设计技术,施健,771,2024/2/26,2024/7/1,2024,2024
常熟理工学院,1001754117,电路,孟翔飞,525,2024/3/4,2024/6/23,2024,2024
常熟理工学院,1462096164,中级财务会计,吴敏艳,194,2024/2/22,2024/7/1,2024,2024
常熟理工学院,1001755165,高等数学A（1）,张树来,421,2024/1/29,2024/6/30,2024,2024
常熟理工学院,1462061164,英语语法,钱轶群,1234,2024/2/22,2024/6/30,2024,2024
常熟理工学院,1001753006,薄膜太阳能电池,侯海虹,264,2024/2/27,2024/5/31,2024,2024
常熟理工学院,1461622166,高等数学A（2）,张树来,548,2024/1/29,2024/6/30,2024,2024
常熟理工学院,1461515182,劳动教育,蔡瑞林,3200,2024/2/22,2024/7/3,2024,2024
常熟理工学院,1461028177,现场急救,陈梦玲,4431,2023/9/11,2023/12/31,2023,2023
常熟理工学院,1460915184,电梯选型设计,刘军军,256,2020/9/22,2020/12/31,2020,2020
常熟理工学院,1454017187,财务管理,田林,243,2022/10/14,2023/7/20,2022,2023
江苏科技大学,1206794818,机械设计,朱永梅,735,2024/2/23,2024/7/7,2024,2024
江苏科技大学,1468786186,职业生涯发展规划及就业指导―意识、认知、决策、行动,梅亮,555,2024/2/28,2024/7/15,2024,2024
江苏科技大学,1206805816,船舶辅机,王军,477,2022/2/20,2023/12/12,2022,2023
江苏科技大学,1468555173,植物学,王娜,563,2023/9/4,2024/1/28,2023,2024
江苏科技大学,1206807819,焊接方法与设备,"黎文航	",3446,2022/2/18,2022/7/20,2022,2022
江苏科技大学,1468561171,电气与PLC技术,周瑜,2174,2024/1/22,2024/6/30,2024,2024
江苏科技大学,1206791816,电工电子技术,许琳莉,233,2024/2/28,2024/7/30,2024,2024
江苏科技大学,1466329162,工程图学,吴巨龙,503,2022/8/29,2022/12/31,2022,2022
江苏科技大学,1206799814,生命科学导论,牟会荣,381,2023/9/12,2024/1/15,2023,2024
江苏科技大学,1465865171,游船游艇创意设计,刘李明,101,2021/12/31,2022/10/12,2021,2022
江苏科技大学,1206791815,钢结构设计原理,王治均,1246,2024/2/26,2024/6/30,2024,2024
江苏科技大学,1465766166,热工基础与流体力学,王筱蓉,294,2024/3/1,2024/6/30,2024,2024
江苏科技大学,1206796811,大学物理-1,戴俊,3547,2024/3/11,2024/7/11,2024,2024
江苏科技大学,1465772162,机械设计课程设计,樊玉杰,203,2024/3/6,2024/7/5,2024,2024
江苏科技大学,1206794814,蚕丝智慧与农桑文化,李木旺,225,2024/3/18,2024/7/1,2024,2024
江苏科技大学,1463784164,环境保护与可持续发展,王新刚,461,2023/10/19,2024/2/26,2023,2024
江苏科技大学,1206791812,船舶与海洋工程导论,尹群,330,2024/2/26,2024/6/9,2024,2024
江苏科技大学,1461703161,分子生物学（双语）,罗,110,2024/3/1,2024/7/15,2024,2024
江苏科技大学,1206791811,近现代船舶工业发展与中国崛起,郭昭昭,2450,2024/3/4,2024/7/5,2024,2024
江苏科技大学,1461331181,工程合同管理,柏乃宁,2370,2024/2/16,2024/6/21,2024,2024
江苏科技大学,1001753072,材料连接原理,赵勇,2037,2020/2/17,2020/6/21,2020,2020
江苏科技大学,1460875165,Coordination Chemistry,袁爱华,42,2020/9/7,2021/1/25,2020,2021
江苏科技大学,1001754056,现代控制理论,朱志宇,2720,2017/9/30,2018/1/23,2017,2018
江苏科技大学,1450326320,材料力学,宋向荣,478,2024/3/11,2024/6/30,2024,2024
江苏科技大学,1001754029,工程导论,李滨城,657,2024/3/4,2024/7/31,2024,2024
江苏科技大学,1001755062,管理信息系统,任南,232,2024/2/26,2024/6/30,2024,2024
江苏科技大学,1001755025,船舶设计原理,陈悦,174,2024/2/27,2024/7/31,2024,2024
江苏科技大学,1449641161,计算思维,於跃成,2083,2023/9/17,2024/3/14,2023,2024
江苏科技大学,1001755021,微机原理与接口技术,陈红卫,462,2024/2/26,2024/6/30,2024,2024
江苏科技大学,1449624163,船舶柴油机构造与原理,徐华平,1969,2024/2/16,2024/7/25,2024,2024
江苏科技大学,1449607161,物理化学,袁爱华,347,2024/2/26,2024/7/10,2024,2024
江苏科技大学,1206797813,走近中国,王妍,1004,2021/9/8,2021/12/31,2021,2021
江苏科技大学,1206816801,船舶流体力学,朱仁庆,461,2021/9/3,2022/1/20,2021,2022
江苏科技大学,1206812803,船舶结构力学,刘昆,773,2022/9/7,2023/4/20,2022,2023
江苏科技大学,1206805817,机械制造基础,管小燕,1741,2023/9/7,2024/1/20,2023,2024
苏州科技大学,1470133168,城市社会学,魏晓芳,234,2024/4/24,2024/6/30,2024,2024
苏州科技大学,1467797165,会计学,段姝,34,2023/2/21,2023/7/1,2023,2023
苏州科技大学,1463553167,水污染控制工程（二）,袁怡,945,2021/5/11,2021/7/10,2021,2021
苏州科技大学,1461393161,水污染控制工程（一）,袁怡,1618,2021/9/6,2022/1/27,2021,2022
苏州科技大学,1449946167,线性代数,黄志刚,2190,2024/2/27,2024/6/30,2024,2024
苏州科技大学,1449798175,概率论与数理统计,李晓莉,654,2024/2/21,2024/6/23,2024,2024
苏州科技大学,1449799166,数学物理方法,马春兰,872,2024/2/26,2024/6/30,2024,2024
苏州科技大学,1001752312,中国传统文化,沈骅,1341,2021/6/6,2021/8/25,2021,2021
苏州科技大学,1001754310,城市详细规划,郑皓,6062,2017/9/30,2018/1/1,2017,2018
苏州科技大学,1001752311,钢结构设计原理,毛小勇,137,2022/11/28,2023/1/31,2022,2023
盐城工学院,1449751161,材料物理性能,张霞,851,2023/9/1,2024/1/12,2023,2024
盐城工学院,1449681161,中国好故事的英文解读,丁龙松,115,2024/3/25,2024/6/14,2024,2024
盐城工学院,1470918188,大学英语2,李长安,444,2024/3/13,2024/6/21,2024,2024
盐城工学院,1449392163,单片机原理与接口技术,张兰红,214,2024/2/25,2024/6/30,2024,2024
盐城工学院,1470582163,新能源材料,张霞,326,2024/3/18,2024/7/1,2024,2024
盐城工学院,1207558802,财务管理：理论与案例,卞继红,91,2024/2/26,2024/6/16,2024,2024
盐城工学院,1470474161,英语进阶2,张延晏,557,2024/3/4,2024/6/21,2024,2024
盐城工学院,1207067803,“别”出精彩--服装立体制作,陆平,202,2024/2/28,2024/7/10,2024,2024
盐城工学院,1470452163,互联网金融,焦微玲,2,2024/4/22,2024/6/30,2024,2024
盐城工学院,1003474017,大学物理（电磁学、热学与近代物理）,高虹,2019,2024/2/19,2024/6/30,2024,2024
盐城工学院,1470460161,化工原理实验,邵荣,610,2024/4/2,2024/6/7,2024,2024
盐城工学院,1003468020,大学物理（力学、振动与波动）,高虹,3278,2024/2/19,2024/6/30,2024,2024
盐城工学院,1465104169,微生物学实验,李朝霞,285,2024/3/19,2024/5/20,2024,2024
盐城工学院,1205929808,房屋建筑学,赵永东,611,2024/2/20,2024/6/10,2024,2024
盐城工学院,1464931171,织物结构与设计,王春霞,293,2024/2/24,2024/7/20,2024,2024
盐城工学院,1003479012,《史记》女性人物讲读,张苏榕,470,2023/9/16,2024/1/13,2023,2024
盐城工学院,1464499168,数字电子技术,孙宏国,761,2023/9/4,2024/1/14,2023,2024
盐城工学院,1001754073,机电传动控制,马如宏,938,2023/9/23,2024/1/21,2023,2024
盐城工学院,1463122174,海盐文化与城市精神,王红梅,180,2023/9/16,2023/12/25,2023,2023
盐城工学院,1001753099,机械原理,朱龙英,962,2024/2/15,2024/6/30,2024,2024
盐城工学院,1462157182,电路,刘长学,509,2023/9/7,2024/1/20,2023,2024
盐城工学院,1001755100,机械设计,周海,233,2024/2/23,2024/6/30,2024,2024
盐城工学院,1459531164,生物化学,赵卫红,217,2024/2/28,2024/7/10,2024,2024
盐城工学院,1001754088,粉体工程及设备,张长森,127,2024/2/26,2024/7/1,2024,2024
盐城工学院,1457878175,英语口语交流技巧,薛玉秀,1619,2023/10/30,2024/1/31,2023,2024
盐城工学院,1001752084,土力学与基础工程,于小娟,1421,2023/9/1,2024/1/20,2023,2024
盐城工学院,1457868173,环境监测与仪器分析,罗婷,571,2023/9/5,2023/12/31,2023,2023
盐城工学院,1457958173,塑料成型工艺与三维模具设计,夏建生,311,2024/2/21,2024/6/23,2024,2024
盐城工学院,1453133212,化工原理（下）,吴俊,336,2024/2/27,2024/7/1,2024,2024
盐城工学院,1450172170,材料结构表征,吴其胜,242,2024/3/1,2024/5/31,2024,2024
盐城工学院,1449644166,微生物学,李朝霞,751,2024/2/24,2024/6/16,2024,2024
盐城工学院,1449875167,CAD/CAM技术,宋树权,62,2024/4/22,2024/7/10,2024,2024
盐城工学院,1449804164,瑜珈,朱泳,605,2022/9/5,2022/12/30,2022,2022
盐城工学院,1449737164,混凝土科学与工程,焦宝祥,1606,2020/2/24,2020/5/30,2020,2020
盐城师范学院,1470430167,生态学,姚利,187,2023/12/12,2024/6/30,2023,2024
盐城师范学院,1468667164,伦理学,王志国,423,2024/2/20,2024/7/1,2024,2024
盐城师范学院,1467009167,有机化学实验,王庆东,363,2024/1/9,2024/6/22,2024,2024
盐城师范学院,1449805180,概率论与数理统计,张爱武,324,2024/3/1,2024/7/10,2024,2024
盐城师范学院,1449777177,高等代数,张勇,510,2024/2/29,2024/7/10,2024,2024
盐城师范学院,1449786179,检测技术,尤源,68,2024/3/10,2024/6/20,2024,2024
盐城师范学院,1449661161,阅读与写作,李尧,1310,2024/2/25,2024/6/30,2024,2024
盐城师范学院,1449637166,动物学,王加连,602,2023/9/11,2023/12/25,2023,2023
盐城师范学院,1449449161,管理学,周华,224,2024/2/20,2024/7/6,2024,2024
盐城师范学院,1449399167,吃出健康食品营养与安全,汤新慧,344,2024/3/5,2024/7/15,2024,2024
盐城师范学院,1207453802,现代汉语语法和修辞,张怡春,986,2024/2/20,2024/7/14,2024,2024
盐城师范学院,1207178802,运动解剖学,姜振,2548,2023/10/7,2024/4/28,2023,2024
盐城师范学院,1206695804,数学解题研究,段志贵,391,2024/2/20,2024/6/30,2024,2024
盐城师范学院,1001754238,英美诗歌,薛家宝,232,2024/3/8,2024/6/30,2024,2024
盐城师范学院,1001753080,高等代数选讲,郭曙光,418,2023/9/9,2023/12/31,2023,2023
盐城师范学院,1001752195,化工热力学,王新红,302,2024/2/10,2024/6/30,2024,2024
盐城师范学院,1001754061,英语课程与教学论,李箭,813,2024/2/28,2024/7/1,2024,2024
盐城师范学院,1001752058,中学思想政治教学论,高汝伟,387,2024/3/4,2024/6/21,2024,2024
盐城师范学院,1001752052,法学概论,刘德林,309,2024/3/4,2024/6/30,2024,2024
扬州大学,1001752338,数学分析,黄强联,499,2024/2/21,2024/7/31,2024,2024
扬州大学,1001753373,中学语文课程标准与教材研究,徐林祥,667,2024/2/26,2024/6/17,2024,2024
扬州大学,1001754335,动物传染病学,彭大新,2248,2023/9/1,2024/1/8,2023,2024
扬州大学,1001752341,声乐作品赏析与演唱,张美林,716,2024/3/8,2024/5/10,2024,2024
扬州大学,1001755369,电路与电子技术,吴桂峰,201,2024/2/26,2024/6/30,2024,2024
扬州大学,1001752337,动物遗传学,李碧春,683,2024/2/26,2024/6/23,2024,2024
扬州大学,1001755365,作物栽培学,戴其根,471,2024/2/27,2024/6/30,2024,2024
扬州大学,1465451168,戏曲鉴赏,柏红秀,539,2024/2/28,2024/6/30,2024,2024
扬州大学,1456163164,食品检验检疫学,杨振泉,177,2024/3/4,2024/6/29,2024,2024
扬州大学,1452054213,人人享有基本健康服务,王劲松,67,2020/11/16,2021/1/29,2020,2021
扬州大学,1449912188,微机原理及应用,李云,653,2023/9/4,2024/1/14,2023,2024
扬州大学,1449634166,中学英语课程与教学,王金铨,1879,2023/9/4,2024/1/10,2023,2024
扬州大学,1449602173,文本写作教程,柳宏,444,2024/3/9,2024/6/30,2024,2024
扬州大学,1449636169,体育心理学,陈爱国,599,2024/3/3,2024/6/23,2024,2024
扬州大学,1449610177,外科学总论,史宏灿,1155,2022/3/4,2022/7/10,2022,2022
扬州大学,1449650164,影视鉴赏,柏红秀,550,2024/2/28,2024/6/30,2024,2024
扬州大学,1449637167,电气工程创新基础与实践,蒋伟,113,2024/3/11,2024/5/31,2024,2024
扬州大学,1449613172,园艺昆虫学,刘芳,272,2023/9/20,2023/12/30,2023,2023
扬州大学,1449620168,机电传动控制,孙进,934,2022/2/22,2022/6/30,2022,2022
扬州大学,1449624164,汽车文化与新技术,李红,158,2024/3/13,2024/7/7,2024,2024
扬州大学,1449555161,大学计算机,卢雪松,242,2023/9/1,2023/12/31,2023,2023
扬州大学,1449413161,动物营养学,赵国琦,82,2024/4/15,2024/6/30,2024,2024
扬州大学,1206624844,蔬菜栽培学,缪珉,833,2024/2/23,2024/7/15,2024,2024
扬州大学,1001755370,跨文化交际通识通论,俞洪亮,6627,2024/2/26,2024/6/30,2024,2024
扬州大学,1001755367,分析化学,胡效亚,1006,2024/1/1,2024/7/7,2024,2024
扬州大学,1001753375,微生物学,焦新安,998,2024/2/20,2024/7/10,2024,2024
扬州大学,1001753372,植物生理学,熊飞,1070,2024/2/26,2024/6/10,2024,2024
